com_nam,lin_ima,rep_typ,com_typ,com_des,fil_fre,add,cit,sta,zip,tre_nam,com_id,fec_ele_yea,ind_ite_con,ind_uni_con,ind_con,ind_ref,par_com_con,oth_com_con,oth_com_ref,can_con,tot_con,tot_con_ref,can_loa,can_loa_rep,oth_loa,oth_loa_rep,tot_loa,tot_loa_rep,tra_fro_oth_aut_com,tra_fro_non_fed_acc,tra_fro_non_fed_lev_acc,tot_non_fed_tra,oth_rec,tot_rec,tot_fed_rec,ope_exp,sha_fed_ope_exp,sha_non_fed_ope_exp,tot_ope_exp,off_to_ope_exp,fed_sha_of_joi_act,non_fed_sha_of_joi_act,non_all_fed_ele_act_par,tot_fed_ele_act,fed_can_com_con,fed_can_con_ref,ind_exp_mad,coo_exp_par,loa_mad,loa_rep_rec,tra_to_oth_aut_com,fun_dis,off_to_fun_exp_pre,exe_leg_acc_dis_pre,off_to_leg_acc_exp_pre,tot_off_to_ope_exp,oth_dis,tot_fed_dis,tot_dis,net_con,net_ope_exp,cas_on_han_beg_of_per,cas_on_han_clo_of_per,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat,pol_par_com_ref,can_id,cas_on_han_beg_of_yea,cas_on_han_clo_of_yea,exp_sub_to_lim_pri_yea_pre,exp_sub_lim,fed_fun,ite_con_exp_con_com,ite_oth_dis,ite_oth_inc,ite_oth_ref_or_reb,ite_ref_or_reb,oth_fed_ope_exp,sub_con_exp,sub_oth_ref_or_reb,sub_ref_or_reb,tot_com_cos,tot_exp_sub_to_lim_pre,uni_con_exp,uni_oth_dis,uni_oth_inc,uni_oth_ref_or_reb,uni_ref_or_reb
MCCORKLE FOR COLORADO,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00697334&tabIndex=3,Q1,H,P,Q,10158 STONERIDGE TERRACE,PARKER,CO,80134.00,"AUSTIN, ALEXANDER",C00697334,2020.00,750.00,170.00,920.00,,,,,593.77,1513.77,,,,,,,,,,,,,1513.77,,619.25,,,,,,,,,,,,,,,,,,,,,,,619.25,1513.77,619.25,,894.52,,,43466.00,43555.00,,H0CO04197,,,,,,,,,,,,,,,,,,,,,
MCCORMICK FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00648006&tabIndex=3,TER,H,P,T,2949 BREAKWATER DRIVE,LONGMONT,CO,80503.00,"WAHL, FRAN",C00648006,2020.00,,,,,,,,,,,,,,,,,,,,,,,,23199.91,,,,,,,,,,,,,,,,,,,,,,,23199.91,,23199.91,23199.91,,,,43466.00,43501.00,,H8CO04091,,,,,,,,,,,,,,,,,,,,,
MCCREADY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00641381&tabIndex=3,Q1,H,P,Q,PO BOX 78855,CHARLOTTE,NC,282779770.00,"GIARRAPUTO, HOLLY",C00641381,2020.00,846025.31,639330.99,1485356.30,30167.32,,47346.88,2000.00,,1532703.18,32167.32,,,,,,,3024.00,,,,,1634512.05,,475392.86,,,,98784.87,,,,,,,,,,,,,,,,,,,507560.18,1500535.86,376607.99,337838.65,1464790.52,250000.00,,43466.00,43555.00,,H8NC09123,,,,,,,,,,,,,,,,,,,,,
MCCREADY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00641381&tabIndex=3,12S,H,P,Q,PO BOX 78855,CHARLOTTE,NC,282779770.00,"GIARRAPUTO, HOLLY",C00641381,2020.00,282362.89,68334.36,350697.25,12799.00,,5000.00,,,355697.25,12799.00,,,,,,,,,,,,376478.31,,257791.40,,,,20781.06,,,,,,,,,,,,,,,,,,,270590.40,342898.25,237010.34,1464790.52,1570678.43,250000.00,,43556.00,43579.00,,H8NC09123,,,,,,,,,,,,,,,,,,,,,
MCEACHIN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00610964&tabIndex=3,Q1,H,P,Q,PO BOX 7020,RICHMOND,VA,23221.00,"MAY, JENNIFER",C00610964,2020.00,28390.00,5008.78,33398.78,85.00,,35000.00,,,68398.78,85.00,,,,,,,,,,,,68532.60,,38128.19,,,,133.82,,,,,,,,,,,,,,,,,40360.00,,78573.19,68313.78,37994.37,211508.45,201467.86,,,43466.00,43555.00,,H6VA04061,,,,,,,,,,,,,,,,,,,,,
MCHENRY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00393629&tabIndex=3,Q1,H,P,Q,PO BOX 2165,GASTONIA,NC,280532165.00,"LISKER, LISA",C00393629,2020.00,26150.00,101.00,26251.00,,,207000.00,,,233251.00,,,,,,,,24974.84,,,,,258225.84,,96109.29,,,,,,,,,,,,,,,,,,,,,203880.00,,299989.29,233251.00,96109.29,1266099.11,1224335.66,,,43466.00,43555.00,,H4NC10047,,,,,,,,,,,,,,,,,,,,,
MCKAYLA WILKES FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00698563&tabIndex=3,Q1,H,P,Q,P.O. BOX 1352 150 POST OFFICE RD,WALDORF,MD,20604.00,"WILKES, MCKAYLA WILKES",C00698563,2020.00,,5713.90,5713.90,,,,,,5713.90,,,,,,,,,,,,,5713.90,,84.00,,,,,,,,,,,,,,,,,,,,,,,84.00,5713.90,84.00,,5629.90,,,43466.00,43555.00,,H0MD05183,,,,,,,,,,,,,,,,,,,,,
MCKINLEY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00473132&tabIndex=3,Q1,H,P,Q,PO BOX 642,MORGANTOWN,WV,26507.00,"STONE, SAMUEL",C00473132,2020.00,24250.00,195.00,24445.00,1800.00,,86500.00,,,110945.00,1800.00,,,,,,,,,,,,110945.00,,49628.45,,,,,,,,,,,,,,,,,,,,,2500.00,,53928.45,109145.00,49628.45,386465.14,443481.69,315000.00,,43466.00,43555.00,,H0WV01072,,,,,,,,,,,,,,,,,,,,,
MCLEOD-SKINNER FOR OREGON,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00649004&tabIndex=3,Q1,H,P,Q,PO BOX 1894,REDMOND,OR,97756.00,"JACKSON, SUE",C00649004,2020.00,1300.00,571.00,1871.00,,,,,,1871.00,,,,,,,,,,,,4255.00,6401.00,,5499.89,,,,275.00,,,,,,,,,,,,,,,,,,,5499.89,1871.00,5224.89,6710.86,7611.97,,,43466.00,43555.00,,H8OR02161,,,,,,,,,,,,,,,,,,,,,
MCMULLEN FOR SENATE COMMITTEE INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00334029&tabIndex=3,Q1,S,P,Q,100 DORSET STREET SUITE 15,SOUTH BURLINGTON,VT,5403.00,JOHN A MCMULLEN,C00334029,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.00,821.00,619740.00,,43466.00,43555.00,,S8VT00059,,,,,,,,,,,,,,,,,,,,,
MCNERNEY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00398644&tabIndex=3,Q1,H,P,Q,P.O. BOX 690371,STOCKTON,CA,95269.00,SUE STALEY,C00398644,2020.00,82975.00,8195.00,91170.00,,,29090.00,,,120260.00,,,,,,,,,,,,9.20,120300.88,,63474.47,,,,31.68,,,,,,,,,,,,,,,,,6000.00,,69474.47,120260.00,63442.79,168757.82,219584.23,2954.15,,43466.00,43555.00,,H4CA11081,,,,,,,,,,,,,,,,,,,,,
MCSALLY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00512236&tabIndex=3,Q1,H,P,Q,PO BOX 19128,TUCSON,AZ,857319128.00,"KILGORE, PAUL",C00512236,2020.00,,,,,,,,,,,,,,,,,,,,,,,,29355.32,,,,,,,,,,,,,,,,,,,,,,,29355.32,,29355.32,66813.25,37457.93,,,43466.00,43555.00,,H2AZ08102,,,,,,,,,,,,,,,,,,,,,
MCSALLY FOR SENATE INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00666040&tabIndex=3,Q1,S,P,Q,PO BOX 19128,TUCSON,AZ,85710.00,"KILGORE, PAUL",C00666040,2020.00,819520.45,704337.09,1523857.54,90728.75,,379600.00,,,1903457.54,90728.75,,,,,,,169009.34,,,,23.41,2099485.67,,734202.43,,,,26995.38,,,,,,,,,,,,,,,,,89432.24,,914363.42,1812728.79,707207.05,923793.51,2108915.76,,,43466.00,43555.00,,S8AZ00221,,,,,,,,,,,,,,,,,,,,,
MEADOWS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00503094&tabIndex=3,Q1,H,P,Q,PO BOX 811,HENDERSONVILLE,NC,28793.00,"MCMICHAEL, COLLIN",C00503094,2020.00,69580.00,79794.98,149374.98,25.00,,63500.00,,,212874.98,25.00,,,,,,,,,,,,215706.51,,97375.79,,,,2831.53,,,,,,,,,,,,,,,,,,,97400.79,212849.98,94544.26,693594.78,811900.50,,,43466.00,43555.00,,H2NC11080,,,,,,,,,,,,,,,,,,,,,
MEEKS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00329375&tabIndex=3,Q1,H,A,Q,"153-01 JAMAICA AVE., SUITE 535",JAMAICA,NY,11432.00,"SIMMONS, PATSY A.",C00329375,2020.00,,,,,,,,,,,,,,,,,,,,,5.82,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,1702.28,1708.10,,,43466.00,43555.00,,H8NY06048,,,,,,,,,,,,,,,,,,,,,
MEL HALL FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00657635&tabIndex=3,Q1,H,P,Q,P.O. BOX 862,SOUTH BEND,IN,46624.00,"MANCINI, JOSEPH",C00657635,2020.00,,,,,,,,,,,,,,,,,,,,,,40016.03,,3942.17,,,,40016.03,,,,,,,,,,,,,,,,,,,3942.17,,-36073.86,57224.79,93298.65,,,43466.00,43555.00,,H8IN02169,,,,,,,,,,,,,,,,,,,,,
MELANIE LENEGHAN FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00666073&tabIndex=3,Q1,H,P,Q,"3982 POWELL ROAD, #10",POWELL,OH,43065.00,"GEMPERLINE, TOM",C00666073,2020.00,,,,,,,,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,9.00,,9.00,216.49,207.49,133360.00,,43466.00,43555.00,,H8OH12248,,,,,,,,,,,,,,,,,,,,,
MELISSA GILBERT FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00583294&tabIndex=3,Q1,H,P,Q,PO BOX 65322,WASHINGTON,DC,20035.00,"MARTIN, KARRIE",C00583294,2020.00,,,,,,,,,,,,,,,,,,,,,,,,79.00,,,,,,,,,,,,,,,,,,,,,,,79.00,,79.00,11685.08,11606.08,,,43466.00,43555.00,,H6MI08247,,,,,,,,,,,,,,,,,,,,,
MELUSKEY FOR US SENATE INC,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00574350&tabIndex=3,Q1,S,P,Q,26100 N 82ND ST,SCOTTSDALE,AZ,85255.00,JULIANNE RYAN,C00574350,2020.00,60.00,,60.00,,,,,,60.00,,600.00,,,,600.00,,,,,,,660.00,,794.00,,,,,,,,,,,,,,,,,,,,,,,794.00,60.00,794.00,6692.00,6557.00,790873.00,,43466.00,43555.00,,S6AZ00217,,,,,,,,,,,,,,,,,,,,,
MENEFEE FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00683656&tabIndex=3,Q1,H,P,Q,12307 GAMBIT DR,STAFFORD,TX,77477.00,"MENEFEE, JON MARK ME",C00683656,2020.00,3500.00,888.00,4388.00,,,,,,4388.00,,8966.64,,,,8966.64,,,,,,,13354.64,,10737.62,,,,,,,,,,,,,,,,,,,,,,,10737.62,4388.00,10737.62,,2617.02,8966.64,,43411.00,43555.00,,H0TX09168,,,,,,,,,,,,,,,,,,,,,
MENENDEZ FOR SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00264564&tabIndex=3,Q1,S,P,Q,PO BOX 32248,NEWARK,NJ,71020648.00,JOHN PALUMBO,C00264564,2020.00,37500.00,6156.91,43656.91,2205.00,,9000.00,,,52656.91,2205.00,,,,,,,,,,,,52656.93,,56132.67,,,,0.02,,,,,,,,,,,,,,,,,16390.28,,74727.95,50451.91,56132.65,219431.60,197360.58,,,43466.00,43555.00,,S6NJ00289,,,,,,,,,,,,,,,,,,,,,
MESHEA POORE FOR WEST VIRGINIA,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00546929&tabIndex=3,Q1,H,P,Q,PO BOX 11229,CHARLESTON,WV,25339.00,DAVE PENCE,C00546929,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1095.73,-1095.73,19015.47,,43466.00,43555.00,,H4WV02106,,,,,,,,,,,,,,,,,,,,,
MEUSER FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00654723&tabIndex=3,Q1,H,P,Q,PO BOX 11512,HARRISBURG,PA,171081512.00,"RICKARDS, DOUGLAS T",C00654723,2020.00,17500.00,695.00,18195.00,,,43250.00,,10000.00,71445.00,,,,,,,,,,,,,71445.00,,18929.26,,,,,,,,,,,,,,,,,,,,,,,18929.26,71445.00,18929.26,12658.25,65173.99,500000.00,,43466.00,43555.00,,H8PA10147,,,,,,,,,,,,,,,,,,,,,
MICA FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00283051&tabIndex=3,Q1,H,P,Q,P. O. BOX 756,WINTER PARK,FL,32790.00,"MICA, PATRICIA S",C00283051,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24963.72,24963.72,,,43466.00,43555.00,,H2FL08055,,,,,,,,,,,,,,,,,,,,,
MICHAEL BURGESS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00372532&tabIndex=3,Q1,H,P,Q,PO BOX 2334,DENTON,TX,762022334.00,"MARTIN, STEVEN G. JR.",C00372532,2020.00,43300.00,3959.96,47259.96,350.00,,73550.00,,,120809.96,350.00,,,,,,,,,,,1.13,120811.09,,104214.58,,,,,,,,,,,,,,,,,,,,,46887.00,,151451.58,120459.96,104214.58,417299.96,386659.47,,,43466.00,43555.00,,H2TX26093,,,,,,,,,,,,,,,,,,,,,
MICHAEL BURRIS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00516716&tabIndex=3,TER,H,P,T,PO BOX 8411,KANSAS CITY,MO,64114.00,MICHELE R SPILKER CPA,C00516716,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.00,,43466.00,43497.00,,H2MO05352,,,,,,,,,,,,,,,,,,,,,
MICHAEL ERIN WOODY FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00638080&tabIndex=3,Q1,H,P,Q,580 MONTEREY AVE,MORRO BAY,CA,93442.00,WILLIAM C WOODY,C00638080,2020.00,,,,,,,,,,,,,,,,,,,,,,,,396.72,,,,,,,,,,,,,,,,,,,,,,,396.72,,396.72,6017.97,5621.25,90500.00,,43466.00,43555.00,,H8CA24150,,,,,,,,,,,,,,,,,,,,,
MICHAEL GRIMM FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00470807&tabIndex=3,Q1,H,A,Q,610 S BOULEVARD,TAMPA,FL,336062647.00,"WATKINS, NANCY H.",C00470807,2020.00,,,,,,,,,,,,,,,,,,,,,,,,80.00,,,,,,,,,,,,,,,,,,,,,,,80.00,,80.00,27021.14,26941.14,23518.50,,43466.00,43555.00,,H0NY13074,,,,,,,,,,,,,,,,,,,,,
MICHAEL HSING FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00444638&tabIndex=3,Q1,H,P,Q,104 WARREN AVE,BRIDGEWATER,NJ,8807.00,"WU, PING MR",C00444638,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2215.38,2215.38,,,43466.00,43555.00,,H8NJ07132,,,,,,,,,,,,,,,,,,,,,
MICHAEL J. STEELE FOR SENATE 2022,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00690586&tabIndex=3,Q1,S,P,Q,409 4TH ST N APT. 8,FARGO,ND,58102.00,"STEELE, MICHAEL JAMES",C00690586,2020.00,30.00,,30.00,,,,,2.00,32.00,,,,,,,,,,,,,32.00,,,,,,,,,,,,,,,,,,,,,,,,,,30.00,,196.00,228.00,,,43496.00,43555.00,,S2ND00107,,,,,,,,,,,,,,,,,,,,,
MICHAEL KOTICK FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00650655&tabIndex=3,Q1,H,P,Q,525 E. SEASIDE WAY SUITE 101-C,LONG BEACH,CA,90802.00,"CRUMMITT, GARY",C00650655,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200.00,3200.00,202525.00,,43466.00,43555.00,,H8CA48100,,,,,,,,,,,,,,,,,,,,,
MICHAEL SAN NICOLAS FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00668335&tabIndex=3,Q1,H,P,Q,198 WEST SANTA BARBARA,DEDEDO,GU,96929.00,"CALVO, SHELLY VARGAS MRS.",C00668335,2020.00,12515.00,200.00,12715.00,,,,,,12715.00,,4967.00,,,,4967.00,,,,,,,17682.00,,,,,,,,,,,,,,,,,,,,,,,,,,12715.00,,61913.78,79595.78,26154.95,,43466.00,43555.00,,H8GU01020,,,,,,,,,,,,,,,,,,,,,
MICHAEL SNYDER FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00649178&tabIndex=3,Q1,H,P,Q,PO BOX 1136,BONNERS FERRY,ID,83805.00,"SNYDER, MICHAEL",C00649178,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908.38,1908.38,4000.00,,43466.00,43555.00,,H8ID01132,,,,,,,,,,,,,,,,,,,,,
MICHAEL TENENBAUM FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00423178&tabIndex=3,Q1,H,P,Q,1431 OCEAN AVE. STE. 400,SANTA MONICA,CA,90401.00,"TENENBAUM, MICHAEL",C00423178,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4953.25,4953.25,64262.18,,43466.00,43555.00,,H6CA24279,,,,,,,,,,,,,,,,,,,,,
MICHAEL WALTZ FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00666396&tabIndex=3,Q1,H,P,Q,437 OCEAN GROVE CIRCLE,ST AUGUSTINE,FL,32080.00,"KILGORE, PAUL",C00666396,2020.00,108450.00,5650.00,114100.00,14000.00,,65800.00,,,179900.00,14000.00,,,,,,,43757.54,,,,,223657.54,,67498.76,,,,,,,,,,,,,,,,,,,,,1000.00,,82498.76,165900.00,67498.76,51561.41,192720.19,430000.00,,43466.00,43555.00,,H8FL06148,,,,,,,,,,,,,,,,,,,,,
MICHEL FAULKNER FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00470997&tabIndex=3,Q1,H,P,Q,121 MANHATTAN AVE,NEW YORK,NY,10025.00,ERIC GROBERG,C00470997,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.13,232.13,10900.00,,43466.00,43555.00,,H0NY15111,,,,,,,,,,,,,,,,,,,,,
MICHELE FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00664060&tabIndex=3,Q1,H,P,Q,1025 HAMILTON STREET SUITE 302,PHILADELPHIA,PA,19123.00,"NEWMAN, MERLEEN",C00664060,2020.00,,,,,,,,,,,,,,,,,,,,,,,,10.80,,,,,,,,,,,,,,,,,,,,,,,10.80,23882.09,309502.77,39535.55,39524.75,331440.66,,43466.00,43555.00,,H8PA01245,,,,,,,,,,,,,,,,,,,,,
"MICHELE NIX COMMITTEE, INC",http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00697623&tabIndex=3,12S,H,P,Q,906 N QUEEN ST STE B,KINSTON,NC,28501.00,"ELLIS, AMY",C00697623,2020.00,42050.00,6153.50,48203.50,200.00,,,,,48203.50,200.00,,,,,,,,,,,,48203.50,,36283.41,,,,,,,,,,,,,,,,,,,,,,,36483.41,48003.50,36283.41,,11720.09,,,43497.00,43565.00,,H0NC03131,,,,,,,,,,,,,,,,,,,,,
MICK RICH FOR US SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00633255&tabIndex=3,Q1,S,P,Q,PO BOX 90203,ALBUQUERQUE,NM,87199.00,DAVID SATTERFIELD,C00633255,2020.00,,,,,,,,1500.00,1500.00,,1000.00,,,,1000.00,,,,,,,2709.52,,3105.08,,,,209.52,,,,,,,,,,,,,,,,,,,3105.08,1500.00,2895.56,1278.45,882.89,236500.00,,43466.00,43555.00,,S8NM00200,,,,,,,,,,,,,,,,,,,,,
MIGUEL LEVARIO FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00638353&tabIndex=3,TER,H,P,T,6217 KENOSHA DR,LUBBOCK,TX,79413.00,JOSE' D LEVARIO,C00638353,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43466.00,43527.00,,H8TX19111,,,,,,,,,,,,,,,,,,,,,
MIKE BARKLEY FOR CONGRESS COMMITTEE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00495507&tabIndex=3,Q1,H,P,Q,167 N SHERIDAN AVE,MANTECA,CA,953364848.00,MICHAEL J BARKLEY,C00495507,2020.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819.86,2819.86,46147.31,,43466.00,43555.00,,H2CA00096,,,,,,,,,,,,,,,,,,,,,
MIKE BISHOP FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00561001&tabIndex=3,Q1,H,P,Q,PO BOX 1148,BRIGHTON,MI,481162748.00,"TILLSTROM, VALERIE",C00561001,2020.00,,,,,,,,,,,,,,,,,3214.85,,,,44507.19,47722.04,,15711.67,,,,,,,,,,,,,,,,,,,,,,,15711.67,,15711.67,111072.94,143083.31,50500.00,,43466.00,43555.00,,H4MI08135,,,,,,,,,,,,,,,,,,,,,
MIKE BOST FOR CONGRESS COMMITTEE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00546499&tabIndex=3,Q1,H,P,Q,PO BOX 1212,MURPHYSBORO,IL,62966.00,"PITTMAN, DEBORAH K",C00546499,2020.00,69900.00,4485.00,74385.00,6050.00,,137000.00,2000.00,,211385.00,8050.00,,,,,,,83999.59,,,,,296342.59,,35481.14,,,,958.00,,,,,,,,,,,,,,,,,,,43531.14,203335.00,34523.14,5320.68,258132.13,8281.72,,43466.00,43555.00,,H4IL12060,,,,,,,,,,,,,,,,,,,,,
MIKE BRAUN FOR INDIANA,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00653147&tabIndex=3,Q1,S,P,Q,PO BOX 159,ZIONSVILLE,IN,460770159.00,"DATWYLER, THOMAS",C00653147,2020.00,19450.00,7399.00,26849.00,30.00,,85676.79,,,112525.79,30.00,,,,,,,,,,,,145885.42,,86858.82,,,,33359.63,,,,,,,,,,,,,,,,,5550.00,,92438.82,112495.79,53499.19,71583.08,125029.68,341069.24,,43466.00,43555.00,,S8IN00171,,,,,,,,,,,,,,,,,,,,,
MIKE CLARK FOR CONGRESS,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00592816&tabIndex=3,Q1,H,P,Q,"1102 S. AUSTIN AVE., STE 110 #243",GEORGETOWN,TX,78626.00,"CLARK, MIKE",C00592816,2020.00,,366.66,366.66,,,,,,366.66,,,150.00,,,,150.00,,,,,,461.41,,56.38,,,,94.75,,,,,,,,,,,,,,,,,,,206.38,366.66,-38.37,444.14,699.17,4550.00,,43466.00,43555.00,,H6TX31045,,,,,,,,,,,,,,,,,,,,,
MIKE COSTA FOR U.S. SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00689570&tabIndex=3,TER,S,P,T,P.O. BOX 806,BRISTOL,RI,28099998.00,"COSTA, MICHAEL",C00689570,2020.00,-900.00,,-900.00,,,,,,-900.00,,,,,,,,,,,,,-900.00,,-900.00,,,,,,,,,,,,,,,,,,,,,,,-900.00,-900.00,-900.00,,,,,43466.00,43482.00,,S8RI00177,,,,,,,,,,,,,,,,,,,,,
MIKE CRAPO FOR US SENATE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00330886&tabIndex=3,Q1,S,P,Q,PO BOX 1948,BOISE,ID,83701.00,"KILGORE, PAUL",C00330886,2020.00,18600.00,,18600.00,,,19500.00,,,38100.00,,,,,,,,,,,,4690.32,51472.72,,76948.21,,,,8682.40,,,,,,,,,,,,,,,,,,,76948.21,38100.00,68265.81,3557101.16,3531625.67,,,43466.00,43555.00,,S8ID00027,,,,,,,,,,,,,,,,,,,,,
MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00675884&tabIndex=3,Q1,S,P,Q,PO BOX 14072,JACKSON,MS,39236.00,"BROWN, KAISER",C00675884,2020.00,250.00,833.17,1083.17,16686.50,,5000.00,7500.00,,6083.17,24186.50,,,,,,,,,,,,7412.95,,71163.36,,,,1329.78,,,,,,,,,,,,,,,,,1000.00,,96349.86,-18103.33,69833.58,294170.70,205233.79,,,43466.00,43555.00,,S8MS00287,,,,,,,,,,,,,,,,,,,,,
MIKE GALLAGHER FOR WISCONSIN,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=C00610212&tabIndex=3,Q1,H,P,Q,PO BOX 1027,GREEN BAY,WI,54305.00,"KILGORE, PAUL",C00610212,2020.00,228845.20,1035.00,229880.20,5400.00,,94100.00,,,323980.20,5400.00,,,,,,,50798.64,,,,423.46,375202.30,,187969.80,,,,,,,,,,,,,,,,,,,,,,,193369.80,318580.20,187969.80,808257.50,990090.00,,,43466.00,43555.00,,H6WI08155,,,,,,,,,,,,,,,,,,,,,
